Year_x,Residential_GL,Non_Residential_GL,Non_Revenue_GL,YearInt,Year_y,Desalination_Delivered_GL
2012-13,261,101,44,2012,2012,0
2013-14,263,101,45,2013,2013,0
2014-15,267,102,46,2014,2014,0
2015-16,283,108,50,2015,2015,0
2016-17,279,106,43,2016,2016,0
2017-18,289,110,53,2017,2017,50
2018-19,299,111,49,2018,2018,15
2019-20,298,102,39,2019,2019,15
2020-21,303,90,41,2020,2020,125
2021-22,304,94,47,2021,2021,125
2022-23,298,100,53,2022,2022,125
2023-24,309,106,56,2023,2023,15
2024-25,323,112,61,2024,2024,15
