LGA,Rainfall_Deficit_mm
MELBOURNE,120.5
GEELONG,95.2
BENDIGO,150.3
BALLARAT,110.1
SHEPPARTON,180.4
WARRNAMBOOL,60.2
MILDURA,210.5
WODONGA,140.3
TRARALGON,85.1
WANGARATTA,130.2
MOIRA,165.5
CAMPASPE,145.2
SWAN HILL,195.8
HORSHAM,175.4
ARARAT,125.1
YARRA RANGES,105.3
CASEY,98.5
HUME,115.2
WYNDHAM,110.5
MORNINGTON PENINSULA,85.4
EAST GIPPSLAND,135.2
WELLINGTON,120.1
FRANKSTON,92.1
DANDENONG,101.5
SUNBURY,118.4
ECHUCA,142.6
COLAC,88.2
HAMILTON,95.7
BAIRNSDALE,122.3
SALE,115.8
BENALLA,138.9
PORTLAND,72.4
STAWELL,131.2
MARYBOROUGH,144.5
CASTLEMAINE,128.7
SEYMOUR,135.4
KYABRAM,148.2
YARRAWONGA,152.1
CORRYONG,158.4
OMEO,145.2
LAKES ENTRANCE,110.5
ORBOST,125.8
MALLACOOTA,115.3
FOSTER,78.5
LEONGATHA,82.4
WONTHAGGI,85.2
TORQUAY,88.5
LORNE,92.1
APOLLO BAY,85.4
CAMPERDOWN,98.2
TERANG,94.5
MORTLAKE,102.1
