Year,Avg_Summer_Max_Temp,Annual_Evaporation_mm,Annual_Rainfall_mm
1983,28.84555555555556,957.4,499.1
1984,25.665934065934064,887.0,664.5
1985,26.46555555555556,904.6,648.0
1986,25.092222222222222,856.4,765.4
1987,26.55222222222222,915.6,607.5
1988,28.58131868131868,920.6,485.8
1989,27.494444444444444,841.4,623.5
1990,28.155555555555555,862.0,551.4
1991,28.385555555555552,911.6,488.1
1992,26.203296703296704,806.0,659.5
1993,26.42111111111112,779.7,606.2
1994,28.442222222222224,877.4,484.8
1995,27.282222222222224,858.5,582.7
1996,26.14945054945055,811.5,564.5
1997,30.167777777777776,956.1,350.0
1998,28.896666666666665,934.6,453.7
1999,28.88,1001.2,436.7
2000,28.38021978021978,1030.2,519.8
2001,28.896666666666665,984.6,439.9
2002,27.332222222222224,1089.4,513.6
2003,29.656666666666663,1025.2,489.2
2004,27.724175824175827,1043.6,537.5
2005,27.042222222222225,970.3,590.2
2006,29.605555555555554,1127.2,376.7
2007,30.32333333333333,1085.1,368.8
2008,27.63846153846153,1013.5,556.1
2009,30.4,1093.8,350.0
2010,28.64444444444445,914.4,506.4
2011,27.46,899.2,538.4
2012,28.27472527472528,960.0,501.8
2013,30.23555555555556,1078.5,371.8
2014,30.167777777777776,1066.6,474.0
2015,30.02777777777778,1099.9,407.8
2016,28.94835164835165,999.6,430.8
2017,28.996666666666663,1023.5,503.1
2018,29.953333333333337,1066.4,364.0
2019,31.042222222222225,1124.8,355.8
2020,28.006593406593407,1023.8,451.2
2021,27.76111111111112,978.0,491.2
2022,28.45111111111111,923.5,510.8
2023,28.582222222222224,1008.8,524.6
2024,29.08571428571429,1050.2,471.7
2025,29.606666666666666,1158.2,429.0
2026,31.70338983050848,599.7,350.0
