Year,Month,Rainfall_mm,MaxTemp
2004,Jan,109.6,23.39032258064516
2004,Feb,18.6,24.58620689655172
2004,Mar,14.6,22.5258064516129
2004,Apr,66.6,20.98
2004,May,36.6,16.996774193548386
2004,Jun,56.6,14.423333333333334
2004,Jul,40.2,13.961290322580645
2004,Aug,77.2,15.832258064516129
2004,Sep,67.8,16.58
2004,Oct,80.2,20.13225806451613
2004,Nov,133.8,21.203333333333333
2004,Dec,56.8,23.635483870967743
2005,Jan,26.4,25.461290322580645
2005,Feb,156.2,23.185714285714287
2005,Mar,14.4,22.59032258064516
2005,Apr,32.4,23.60666666666667
2005,May,15.0,18.241935483870968
2005,Jun,47.8,15.96
2005,Jul,32.6,15.096774193548388
2005,Aug,75.6,15.658064516129032
2005,Sep,70.8,17.42
2005,Oct,39.4,20.45483870967742
2005,Nov,65.4,23.496666666666663
2005,Dec,89.0,26.606451612903225
2006,Jan,54.6,26.59032258064516
2006,Feb,79.6,23.77142857142857
2006,Mar,22.4,25.04516129032258
2006,Apr,69.2,18.59333333333333
2006,May,55.0,16.164516129032258
2006,Jun,11.4,13.86
2006,Jul,36.0,14.229032258064516
2006,Aug,34.6,16.432258064516127
2006,Sep,31.6,19.12
2006,Oct,13.2,20.916129032258063
2006,Nov,29.8,21.4
2006,Dec,31.4,24.141935483870967
2007,Jan,36.8,26.9
2007,Feb,14.8,27.832142857142856
2007,Mar,45.6,24.596774193548388
2007,Apr,24.4,22.126666666666665
2007,May,48.0,19.45483870967742
2007,Jun,56.0,13.63
2007,Jul,81.8,13.529032258064516
2007,Aug,21.4,16.76451612903226
2007,Sep,24.2,18.08333333333333
2007,Oct,24.2,20.425806451612903
2007,Nov,76.0,23.346666666666668
2007,Dec,90.8,25.69677419354839
2008,Jan,17.0,26.783870967741933
2008,Feb,29.9,23.579310344827583
2008,Mar,80.8,26.02258064516129
2008,Apr,19.8,20.35
2008,May,50.6,16.996774193548386
2008,Jun,27.6,15.443333333333332
2008,Jul,63.0,13.922580645161291
2008,Aug,58.1,14.025806451612905
2008,Sep,28.8,18.790000000000003
2008,Oct,13.6,21.19677419354839
2008,Nov,0.0,21.84
2008,Dec,77.3,21.858064516129037
2009,Jan,1.0,27.703225806451613
2009,Feb,2.3,26.885714285714283
2009,Mar,51.0,23.20967741935484
2009,Apr,59.0,20.416666666666668
2009,May,18.2,17.593548387096774
2009,Jun,34.6,15.233333333333333
2009,Jul,66.5,14.94516129032258
2009,Aug,45.2,16.348387096774193
2009,Sep,89.4,17.9
2009,Oct,42.0,18.82903225806452
2009,Nov,98.4,26.22
2009,Dec,39.4,24.716129032258067
2010,Jan,40.8,26.396774193548385
2010,Feb,30.3,27.107142857142858
2010,Mar,83.2,25.19677419354839
2010,Apr,32.6,22.446666666666665
2010,May,32.0,17.87741935483871
2010,Jun,86.3,14.25
2010,Jul,29.8,14.370967741935484
2010,Aug,82.0,14.003225806451614
2010,Sep,51.2,15.683333333333334
2010,Oct,146.4,19.641935483870967
2010,Nov,103.6,22.133333333333333
2010,Dec,115.4,23.55483870967742
2011,Jan,89.4,25.45483870967742
2011,Feb,181.8,23.842857142857145
2011,Mar,31.6,22.3
2011,Apr,128.4,20.448275862068964
2011,May,73.0,16.061290322580643
2011,Jun,35.4,15.436666666666667
2011,Jul,43.8,14.338709677419354
2011,Aug,23.6,16.887096774193548
2011,Sep,0.0,18.773333333333333
2011,Oct,66.0,19.80322580645161
2011,Nov,135.2,23.523333333333333
2011,Dec,74.0,23.79032258064516
2012,Jan,40.8,26.42258064516129
2012,Feb,81.1,25.55862068965517
2012,Mar,64.2,22.416129032258063
2012,Apr,89.4,21.366666666666667
2012,May,97.0,16.68064516129032
2012,Jun,84.2,14.046666666666663
2012,Jul,85.3,14.65483870967742
2012,Aug,58.2,14.62258064516129
2012,Sep,45.5,17.846666666666668
2012,Oct,35.0,19.758064516129032
2012,Nov,38.7,22.223333333333336
2012,Dec,27.0,24.40322580645161
2013,Jan,0.0,26.193548387096776
2013,Feb,93.2,28.125
2013,Mar,40.8,26.51290322580645
2013,Apr,33.6,20.59333333333333
2013,May,42.2,17.858064516129033
2013,Jun,96.4,14.926666666666668
2013,Jul,79.2,15.706451612903225
2013,Aug,60.8,16.270967741935483
2013,Sep,84.6,19.48
2013,Oct,54.8,19.10322580645161
2013,Nov,73.8,20.793333333333333
2013,Dec,48.6,23.700000000000003
2014,Jan,18.4,27.33870967741936
2014,Feb,27.6,27.139285714285712
2014,Mar,25.6,24.432258064516127
2014,Apr,77.2,20.57
2014,May,49.4,19.038709677419355
2014,Jun,64.4,15.413333333333332
2014,Jul,32.6,14.464516129032257
2014,Aug,33.6,15.441935483870967
2014,Sep,43.8,18.526666666666664
2014,Oct,35.3,21.69032258064516
2014,Nov,65.0,22.746666666666663
2014,Dec,38.0,23.932258064516127
2015,Jan,0.0,25.851612903225806
2015,Feb,39.7,26.37142857142857
2015,Mar,30.8,22.72258064516129
2015,Apr,65.4,19.236666666666668
2015,May,49.3,17.13225806451613
2015,Jun,31.2,14.426666666666668
2015,Jul,70.2,13.293548387096775
2015,Aug,44.5,13.84516129032258
2015,Sep,38.4,17.256666666666668
2015,Oct,14.9,24.325806451612905
2015,Nov,46.0,22.726666666666667
2015,Dec,44.5,27.451612903225808
2016,Jan,51.5,25.983870967741936
2016,Feb,13.6,25.096551724137928
2016,Mar,37.8,24.858064516129037
2016,Apr,47.8,22.44
2016,May,63.0,18.59354838709677
2016,Jun,65.4,14.223333333333333
2016,Jul,0.0,14.596774193548388
2016,Aug,68.2,15.912903225806453
2016,Sep,89.0,16.71
2016,Oct,79.0,19.25483870967742
2016,Nov,45.6,20.80666666666667
2016,Dec,77.5,25.506451612903227
2017,Jan,31.4,26.458064516129035
2017,Feb,55.0,25.853571428571428
2017,Mar,35.4,26.864516129032257
2017,Apr,110.5,20.83
2017,May,32.0,17.241935483870968
2017,Jun,23.0,14.926666666666668
2017,Jul,33.0,14.54516129032258
2017,Aug,63.0,14.783870967741937
2017,Sep,35.5,17.773333333333333
2017,Oct,52.0,20.687096774193545
2017,Nov,40.0,25.92
2017,Dec,137.0,24.974193548387092
2018,Jan,69.0,27.18387096774193
2018,Feb,2.4,26.98928571428572
2018,Mar,24.0,24.925806451612903
2018,Apr,17.6,21.84333333333333
2018,May,0.0,17.64516129032258
2018,Jun,42.2,14.25
2018,Jul,27.0,14.83548387096774
2018,Aug,42.2,15.077419354838709
2018,Sep,17.6,17.233333333333334
2018,Oct,23.8,21.351612903225806
2018,Nov,102.5,21.96
2018,Dec,0.0,25.73225806451613
2019,Jan,7.5,28.377419354838707
2019,Feb,5.6,26.00714285714286
2019,Mar,22.4,24.76129032258065
2019,Apr,18.2,22.046666666666667
2019,May,73.5,17.81935483870968
2019,Jun,51.3,15.473333333333333
2019,Jul,52.2,15.0
2019,Aug,59.8,14.474193548387095
2019,Sep,53.3,17.756666666666668
2019,Oct,27.0,21.325806451612905
2019,Nov,63.4,21.793333333333333
2019,Dec,13.8,24.55483870967742
