Latitude,Longitude,LocalDensity,GlowSize
-35.9203064,144.1408819,13,31
-36.4368624,144.9769783,66,137
-36.236312,145.3638637,28,61
-37.0848076,141.9723575,3,11
-36.2471853,144.99032,77,159
-35.288224,144.1186835,1,7
-37.113777,141.04401,5,15
-35.8836212,144.1779461,11,27
-36.2914319,144.7452794,48,101
-37.0337916,141.2870027,3,11
-34.5578898,145.0043377,1,7
-36.3146888,144.9840752,108,221
-36.4083462,144.9476629,70,145
-35.9196794,144.1171779,14,33
-36.3690739,145.2637145,83,171
-35.999932,144.0987376,10,25
-36.3496686,144.6779044,49,103
-34.5484616,145.9445818,1,7
-36.4871596,144.2660306,7,19
-35.9920629,145.4770853,33,71
-36.4865521,144.2995207,6,17
-38.0136602,146.8081965,6,17
-34.5765,144.7071193,1,7
-38.1684665,147.1584296,4,13
-34.0253869,148.4670351,1,7
-34.1153472,145.4057638,1,7
-36.1908353,143.7212381,5,15
-36.4185018,144.9441322,68,141
-35.5099691,143.6159187,11,27
-37.9181175,143.4901775,3,11
-38.014873,140.960367,2,9
-35.5967616,145.5330541,1,7
-36.1801051,145.0800411,56,117
-36.0410499,145.6537193,28,61
-36.4199295,144.9194864,58,121
-36.4235651,145.4825491,34,73
-36.402254,145.447296,42,89
-37.016758,140.95301,3,11
-36.4473556,143.1166142,1,7
-36.4083462,144.9476629,70,145
-36.1465679,145.5983514,26,57
-36.4400502,145.2089219,90,185
-34.8144134,146.7687879,1,7
-36.2644761,144.6107069,59,123
-36.3656467,145.3125454,81,167
-35.9952078,145.5606155,30,65
-35.2061102,147.501122,1,7
-36.1402922,144.8505558,19,43
-38.0850842,146.810255,6,17
-36.2839196,145.0172654,102,209
-38.0777971,146.7853436,6,17
-36.5207373,142.6228247,2,9
-34.2687899,142.117761,13,31
-36.5599463,145.2542594,41,87
-36.3911409,145.4727813,35,75
-36.4010169,144.9433644,69,143
-38.0741177,146.8848805,6,17
-35.4693774,143.714907,12,29
-35.9479113,145.6826593,8,21
-36.1565916,145.6307476,25,55
-36.4685061,145.3029543,69,143
-35.606107,143.814793,6,17
-36.3904975,144.3032932,9,23
-35.5694443,144.1229812,1,7
-36.2269999,147.1682844,1,7
-38.5863427,143.1268051,5,15
-37.7107594,142.5858047,5,15
-35.9314636,145.5070745,26,57
-35.9198648,144.1059851,14,33
-34.5215392,143.7923939,3,11
-36.4475266,144.9539279,61,127
-37.7284311,147.2747725,1,7
-36.2347909,144.084979,4,13
-34.4251498,143.7929482,3,11
-34.0026527,147.9180222,1,7
-36.5587081,145.2558528,41,87
-36.2271593,145.065963,77,159
-35.795615,144.0869522,11,27
-36.3753758,145.4285274,48,101
-35.9383133,145.5070086,26,57
-35.5001718,143.6333957,11,27
-36.2550241,144.9756305,80,165
-36.6710581,143.5123844,2,9
-36.2249513,145.1221337,69,143
-36.4123771,144.9531684,69,143
-36.9679054,141.0052558,3,11
-36.3583378,145.2393423,86,177
-35.2615222,144.9167749,1,7
-34.9317653,144.765799,1,7
-34.3327458,142.387446,4,13
-37.141568,141.077986,4,13
-37.554876,141.0060221,1,7
-36.9226654,141.0958122,2,9
-36.319961,141.9675943,2,9
-35.8399546,143.9986559,10,25
-34.5074128,145.1648676,2,9
-38.044234,140.91873,2,9
-37.7107594,142.5858047,5,15
-36.4264704,145.296153,79,163
-36.3977873,145.2834562,81,167
-34.1567098,142.1430857,13,31
-37.844515,140.9058899,2,9
-36.587589,140.928443,1,7
-37.706401,140.932632,2,9
-36.4212057,144.9445763,68,141
-36.419313,144.9443546,68,141
-35.003549,140.959284,2,9
-34.058259,141.323467,2,9
-36.3630474,141.1364716,1,7
-37.6999257,142.5822482,5,15
-36.4769601,145.1396754,68,141
-34.4268189,145.179689,2,9
-34.958917,140.95496,2,9
-36.2475424,144.9701141,75,155
-37.203489,140.965596,4,13
-36.754739,140.924189,1,7
-36.3482367,145.1364561,101,207
-37.124581,144.0112364,2,9
-37.0944575,141.9477742,3,11
-34.3272277,142.3605692,5,15
-34.2843888,142.2168805,11,27
-34.5118957,143.6775101,3,11
-34.529869,144.1621111,1,7
-36.251204,145.049126,82,169
-36.7685942,144.2733486,1,7
-37.0389712,141.3404096,3,11
-34.1959795,142.2211815,13,31
-36.3773483,145.2827568,89,183
-35.7693225,144.2414156,6,17
-36.2237893,144.887434,51,107
-36.1428159,146.754231,2,9
-35.4916936,143.617566,11,27
-36.4937632,145.2101841,68,141
-36.555602,145.2895572,40,85
-36.2236852,144.8073477,30,65
-36.3380233,144.6710465,53,111
-36.3655954,145.4411768,41,87
-35.0332498,143.0426499,1,7
-37.0043976,142.2984489,3,11
-34.7762835,142.6657827,1,7
-36.3812675,144.6651773,43,91
-36.2241061,145.0418231,73,151
-36.1687664,145.049018,56,117
-37.4076247,141.9666041,2,9
-36.3125587,145.2368615,79,163
-35.8832602,143.8109293,6,17
-37.5275088,142.9327049,2,9
-36.1709337,145.5831228,27,59
-36.4008625,145.3180064,84,173
-36.94143,142.0289263,2,9
-35.9743039,145.4781954,32,69
-36.2257757,146.4596462,4,13
-35.6142303,143.7503687,8,21
-34.1560491,142.1454938,13,31
-34.2239923,142.2340442,13,31
-36.3760413,145.1641676,104,213
-34.7172546,142.8316681,3,11
-34.8036261,142.9023692,2,9
-34.7701457,142.3760112,1,7
-36.4392263,144.9354168,55,115
-35.446332,143.7336791,10,25
-36.3459867,144.650959,53,111
