Suburb,BoreCount,Intensity
UNDERBOOL,0,0
NURRAN,0,0
WOORNDOO,0,0
DEPTFORD,0,0
YANAC,0,0
MINIMAY,0,0
GLEN FORBES,0,0
ADAMS ESTATE,0,0
DIMBOOLA,0,0
CANNUM,0,0
WALLUP,0,0
MURRA WARRA,0,0
KALKEE,0,0
WAIL,0,0
PIMPINIO,0,0
DOOEN,0,0
VECTIS,0,0
QUANTONG,0,0
CARWARP,0,0
OMEO,0,0
YAPEEN,0,0
LOGAN,0,0
TOM GROGGIN,0,0
TAMBOON,0,0
WONGUNGARRA,0,0
WILSONS PROMONTORY,0,0
GUILDFORD,0,0
WILLAURA,1,1
COBBERAS,0,0
MACLEOD,0,0
BUNDOORA,0,0
HEIDELBERG WEST,0,0
MONEGEETTA,0,0
PERONNE,0,0
TUTYE,0,0
MOORALLA,0,0
DUNKELD,0,0
SUGGAN BUGGAN,0,0
BAW BAW,0,0
CABBAGE TREE CREEK,0,0
WAHRING,0,0
NAMBROK,2,2
KILMANY,0,0
DEEPDENE,0,0
MURRAYVILLE,0,0
EDENHOPE,3,3
WARRACKNABEAL,0,0
DARTMOOR,0,0
DANDONGADALE,0,0
GELANTIPY,0,0
MANSFIELD,0,0
LINGA,0,0
BOINKA,0,0
TENBY POINT,0,0
CORONET BAY,0,0
CORINELLA,0,0
CROYDON SOUTH,0,0
BANKSIA PENINSULA,0,0
GEORGES CREEK,0,0
COBURG NORTH,0,0
PASCOE VALE,0,0
KULWIN,0,0
WALPEUP,1,1
WYCHEPROOF,0,0
MARENGO,0,0
CAPE OTWAY,0,0
MOUNT BULLER,0,0
CHETWYND,0,0
WATTLE HILL,0,0
GELLIBRAND LOWER,0,0
PRINCETOWN,0,0
PETERBOROUGH,0,0
RUNNYMEDE,0,0
SCOTSBURN,0,0
REEDY CREEK,0,0
STRATH CREEK,0,0
JUNGABURRA,0,0
TERRICK TERRICK,0,0
BARJARG,0,0
MAINDAMPLE,0,0
KEYSBOROUGH,0,0
FUMINA,0,0
SURREY HILLS,0,0
LAHARUM,0,0
WATCHUPGA,0,0
NAREEN,3,3
HOTSPUR,0,0
PIONEER BAY,0,0
LANG LANG,0,0
ANDERSON,0,0
BASS,0,0
BANGHOLME,0,0
TANJIL BREN,0,0
DUVERNEY,0,0
LASCELLES,0,0
GRAMPIANS,0,0
MARYSVILLE,0,0
BENALLA,1,1
LONGFORD,0,0
HEXHAM,0,0
PENSHURST,0,0
GLENTHOMPSON,4,4
BURNLEY,0,0
WINDSOR,0,0
ESSENDON WEST,0,0
TETOORA ROAD,0,0
GLENDONALD,0,0
BALMATTUM,1,1
WOOMELANG,0,0
OUYEN,1,1
PATCHEWOLLOCK,0,0
KANIVA,0,0
KOOREH,0,0
NHILL,0,0
DARTMOUTH,0,0
TELOPEA DOWNS,0,0
DIGGORA,2,2
GLENISLA,0,0
LILLIMUR,1,1
WULGULMERANG WEST,0,0
SWAN ISLAND,0,0
KYVALLEY,12,12
BRANXHOLME,0,0
BORNES HILL,0,0
TANJIL,0,0
GLEN VALLEY,0,0
SWIFTS CREEK,0,0
MURRINDINDI,0,0
ROCKLANDS,0,0
WOOLSTHORPE,1,1
ZUMSTEINS,1,1
HALLORA,0,0
MORNINGTON,0,0
WAITCHIE,0,0
FERNSHAW,0,0
DOUGLAS,0,0
LANGKOOP,1,1
WENSLEYDALE,0,0
SERVICETON,0,0
RUPANYUP,0,0
BUCHAN SOUTH,0,0
NETHERBY,0,0
ALLAMBEE,0,0
MACARTHUR,0,0
MARRAWEENEY,0,0
RUBICON,0,0
CARAMUT,0,0
LISMORE,3,3
LICOLA,0,0
YAAPEET,0,0
COWANGIE,1,1
NARBETHONG,0,0
BOLWARRAH,0,0
SKENES CREEK,0,0
MAFEKING,0,0
TERRICK TERRICK EAST,0,0
CHURCHILL ISLAND,0,0
ST KILDA WEST,0,0
MASSEY,0,0
PRINCES HILL,0,0
SUNSET STRIP,0,0
EUREKA,0,0
WIMBLEDON HEIGHTS,0,0
RIPPONLEA,0,0
GARDENVALE,0,0
EGANSTOWN,0,0
WIRRATE,0,0
BLACKHEATH,0,0
DAYLESFORD,0,0
NATIMUK,1,1
DUCHEMBEGARRA,0,0
CLYDE,0,0
LALOR,0,0
KERGUNYAH SOUTH,0,0
DEDERANG,0,0
UPPER GUNDOWRING,0,0
NAYOOK,0,0
GENTLE ANNIE,0,0
BOOROOL,0,0
BERRYS CREEK,0,0
CURLEWIS,0,0
WANDANA HEIGHTS,0,0
WARANGA SHORES,0,0
WATERFORD PARK,0,0
SANDHURST,0,0
CASTERTON,0,0
NELSON,0,0
LAKE MUNDI,0,0
BALLAPUR,0,0
CHANDLERS CREEK,0,0
HARROW,0,0
REYNARD,0,0
GENOA,0,0
HOTHAM HEIGHTS,0,0
SELWYN,0,0
HEATH HILL,0,0
ATHLONE,0,0
DRUMBORG,0,0
HOPETOUN,0,0
BUNGEET WEST,0,0
CALLIGNEE SOUTH,0,0
CHINKAPOOK,0,0
WHITTINGTON,0,0
JUNCTION VILLAGE,0,0
WINCHELSEA SOUTH,0,0
TUNGAMAH,0,0
WOODGLEN,0,0
EAGLE POINT,0,0
JOHNSONVILLE,0,0
CAULFIELD,0,0
EUMEMMERRING,0,0
NEWCOMB,0,0
POREPUNKAH,0,0
ALBACUTYA,0,0
SOUTH DUDLEY,0,0
DALYSTON,0,0
YANAKIE,0,0
GHERANG,0,0
WEST CREEK,0,0
SAN REMO,0,0
ROSEBROOK,0,0
WEDDERBURN,0,0
BEAUCHAMP,0,0
NELSE,0,0
HARMERS HAVEN,0,0
NORTH WONTHAGGI,0,0
BULDAH,0,0
TORRITA,0,0
NEUARPURR,1,1
BOORT,1,1
VERVALE,0,0
ARCHIES CREEK,0,0
HAWKESDALE,0,0
BAKERY HILL,0,0
TANYBRYN,0,0
MERINGUR,1,1
WOODSTOCK,0,0
ANNUELLO,0,0
BIG DESERT,0,0
MERRINEE,1,1
BENAMBRA,0,0
MAIN LEAD,0,0
BELLBRAE,0,0
KENMARE,0,0
WILLENABRINA,0,0
FISKVILLE,0,0
CRYMELON,0,0
AUBREY,0,0
BLACKWOOD,0,0
AIRPORT WEST,0,0
NULLA VALE,0,0
INGLISTON,0,0
WOOLAMAI,0,0
NEILBOROUGH,0,0
ALMURTA,0,0
WERRIMULL,0,0
WINGAN RIVER,0,0
MARYKNOLL,0,0
KYABRAM SOUTH,3,3
CAPE PATERSON,0,0
KILCUNDA,0,0
NEWBURY,0,0
WHIPSTICK,0,0
PYRAMID HILL,0,0
COMBIENBAR,0,0
MOUNT RICHMOND,0,0
LAKE MARMAL,0,0
NILMA,0,0
WARRAGUL SOUTH,0,0
HORDERN VALE,0,0
DEAN,0,0
WONTHAGGI,0,0
KNOXFIELD,0,0
HERNE HILL,0,0
WATTLE BANK,0,0
ST CLAIR,0,0
HORSHAM,0,0
LONGERENONG,0,0
SKENES CREEK NORTH,0,0
WYE RIVER,0,0
TATYOON,0,0
BARKERS CREEK,0,0
CAPE BRIDGEWATER,0,0
KENNETT RIVER,0,0
MARTHAVALE,0,0
DORODONG,1,1
NOORINBEE NORTH,0,0
TOOMBON,0,0
GREY RIVER,0,0
SYLVATERRE,0,0
KERRISDALE,0,0
HUMEVALE,0,0
LAKE BOLAC,0,0
ULTIMA,0,0
BUMBERRAH,0,0
PETTICOAT CREEK,0,0
DANDENONG SOUTH,0,0
DANDENONG,0,0
LYNDHURST,0,0
LYNBROOK,0,0
PATYAH,0,0
MORTLAKE,0,0
QUAMBATOOK,1,1
JAM JERRUP,0,0
WULGULMERANG,0,0
SWAN REACH,0,0
TYNTYNDER SOUTH,0,0
WULGULMERANG EAST,0,0
BRUMBY,0,0
CLARINDA,0,0
FERNY CREEK,0,0
CAIRNLEA,0,0
TYRRELL,0,0
DALES CREEK,0,0
BAMBRA,0,0
INVERMAY PARK,0,0
WESTMEADOWS,0,0
ASHWOOD,0,0
CORACK EAST,0,0
PATTERSON LAKES,0,0
BURWOOD EAST,0,0
NOORINBEE,0,0
CADELLO,0,0
DRUMMOND,0,0
PENTLAND HILLS,0,0
SEAFORD,0,0
BEULAH,0,0
KINNABULLA,0,0
NANGANA,0,0
TENNYSON,6,6
AIRLY,0,0
LAMPLOUGH,0,0
BELLBIRD CREEK,0,0
LONGLEA,0,0
GOUGHS BAY,0,0
MYRTLEFORD,0,0
BUCKLAND,0,0
MIGA LAKE,0,0
MOUNT BUFFALO,0,0
MALLACOOTA,0,0
BARWON DOWNS,0,0
LALBERT,0,0
APSLEY,3,3
WHIRILY,0,0
BILLABONG,0,0
HOWITT PLAINS,0,0
NORADJUHA,0,0
TALLAROOK,0,0
YEA,0,0
THOMSON,0,0
CALIFORNIA GULLY,0,0
RINGWOOD NORTH,0,0
MONTGOMERY,0,0
MARIONVALE,0,0
HIGHETT,0,0
COLBROOK,0,0
MARIBYRNONG,0,0
CAMPBELLFIELD,0,0
YANGOURA,0,0
DOCKLANDS,0,0
NUTFIELD,0,0
PAYNESVILLE,0,0
ANGLESEA,0,0
BONNIE DOON,0,0
HOPETOUN PARK,0,0
ROCKY POINT,0,0
GLENORCHY,0,0
SAILORS HILL,0,0
MONT ALBERT,0,0
CLIFTON HILL,0,0
MOGGS CREEK,1,1
RIPPLESIDE,0,0
NOBLE PARK NORTH,0,0
MURRAWEE,0,0
GEELONG,0,0
CAULFIELD SOUTH,0,0
RICHMOND,0,0
TORWOOD,0,0
MORDIALLOC,0,0
LEIGH CREEK,0,0
BUCKLEY SWAMP,0,0
PANTON HILL,0,0
KILLARA,0,0
NOTTING HILL,0,0
CORAL BANK,0,0
BARNADOWN,0,0
CHILTERN,1,1
GOLDEN GULLY,0,0
ST KILDA,0,0
WARRAGUL WEST,1,1
PARADISE BEACH,0,0
BLACK ROCK,0,0
NORTH GEELONG,0,0
THE PATCH,0,0
MINMINDIE,0,0
LAKE EPPALOCK,0,0
CAPE SCHANCK,0,0
FAIRHAVEN,0,0
GERMANTOWN,0,0
EMU CREEK,0,0
EASTERN VIEW,0,0
BRAYBROOK,0,0
WARRANDYTE SOUTH,0,0
MONOMEITH,0,0
THORPDALE,0,0
DRYSDALE,0,0
ABERFELDY,0,0
NAREEWILLOCK,0,0
ST KILDA EAST,0,0
WAARRE,0,0
GLADSTONE PARK,0,0
MAIDSTONE,0,0
BREAKWATER,0,0
ST ALBANS PARK,0,0
BORALMA,2,2
NEWLANDS ARM,0,0
BELGRAVE,0,0
MOOROOPNA,0,0
CAULFIELD NORTH,0,0
DOVETON,0,0
ABERFELDIE,0,0
CREEK JUNCTION,0,0
LINDENOW,0,0
PAARATTE,0,0
LEMNOS,3,3
EXFORD,0,0
MILNES BRIDGE,0,0
GOORAM,0,0
SMITHS BEACH,0,0
TANTARABOO,0,0
BAROMI,0,0
CHADSTONE,0,0
AIREYS INLET,0,0
BRIDGEWATER ON LODDON,0,0
MOUNT PLEASANT,0,0
NORTH BENDIGO,0,0
FOREST HILL,0,0
RYTHDALE,0,0
REDAN,0,0
KENSINGTON,0,0
OAKLEIGH EAST,0,0
BURNEWANG,0,0
AYRFORD,0,0
ESSENDON FIELDS,0,0
WEEAPROINAH,0,0
BALD HILLS,0,0
BUFFALO,0,0
EDITHVALE,0,0
BRADFORD,0,0
ROSANNA,0,0
MOE,0,0
SALISBURY WEST,0,0
BRIDGEWATER NORTH,0,0
MOUNT ECCLES,0,0
LEONGATHA NORTH,0,0
TARNEIT,0,0
TRAFALGAR SOUTH,0,0
PARWAN,0,0
ARMSTRONG,0,0
KERNOT,0,0
SCOTCHMANS LEAD,0,0
BAW BAW VILLAGE,0,0
HEATHMONT,0,0
SHAYS FLAT,0,0
MILLOO,0,0
NUNGURNER,0,0
ILLOWA,0,0
SEAHOLME,0,0
DAWSON,0,0
IRONBARK,0,0
HUGHESDALE,0,0
JACANA,0,0
SEAVIEW,0,0
BARRAKEE,0,0
IRISHTOWN,0,0
TYLDEN SOUTH,0,0
YARROWEYAH,6,6
GUNBOWER,1,1
ALMA,0,0
QUARRY HILL,1,1
NORTH MELBOURNE,0,0
ARDEER,0,0
LEITCHVILLE,0,0
GRANYA,0,0
CHINTIN,0,0
LAKES ENTRANCE,0,0
HAVELOCK,0,0
LONG GULLY,0,0
CHARLEMONT,0,0
STIRLING,0,0
SUNDAY CREEK,0,0
CORNELLA,0,0
YALMY,0,0
BUCHAN,0,0
MCCRAE,0,0
LAKE BUNGA,0,0
FOOTSCRAY,0,0
GIL GIL,0,0
ELEVATED PLAINS,0,0
MOONLIGHT FLAT,0,0
NATHALIA,9,9
TERIP TERIP,0,0
STRADBROKE,0,0
HEATHERTON,0,0
SAILORS FALLS,0,0
HAMPTON EAST,0,0
FITZROY,0,0
GOLDEN POINT,0,0
GOWANBRAE,0,0
WALDARA,0,0
ORRVALE,8,8
YANGERY,0,0
COLLINGWOOD,0,0
NEWINGTON,0,0
EAGLEHAWK,0,0
CARNEGIE,0,0
WEST BENDIGO,0,0
LAVERTON,0,0
BANGERANG,0,0
BROOKVILLE,0,0
YAWONG HILLS,0,0
MOUNT ECCLES SOUTH,0,0
BALLARAT CENTRAL,0,0
KINGSBURY,0,0
THALLOO,0,0
MCKENZIE HILL,0,0
CAULFIELD EAST,0,0
SUNDERLAND BAY,0,0
RAWSON,0,0
CAMPERDOWN,0,0
WEST FOOTSCRAY,0,0
ALBANVALE,0,0
NORTH SHORE,0,0
THALIA,0,0
CHEWTON BUSHLANDS,0,0
DEWHURST,0,0
MCKINNON,0,0
TOTTENHAM,0,0
SOLDIERS HILL,0,0
ELLIMINYT,0,0
MODEWARRE,0,0
TIDAL RIVER,0,0
OAKLEIGH,0,0
MORIAC,1,1
ELLINBANK,0,0
BAYSWATER,0,0
MURCHISON,0,0
AVALON,0,0
YARRAVILLE,0,0
MELBOURNE,0,0
MOONEE PONDS,0,0
GLENROY,0,0
MAIDEN GULLY,0,0
MELWOOD,0,0
CHELSEA HEIGHTS,0,0
BLIND BIGHT,0,0
BALLARAT EAST,0,0
DROUIN EAST,0,0
BEND OF ISLANDS,0,0
WOODSIDE BEACH,0,0
YORK PLAINS,0,0
EPSOM,0,0
UPWEY,0,0
MANANGATANG,0,0
BASALT,0,0
VERMONT SOUTH,0,0
WAGGARANDALL,0,0
YABBA NORTH,0,0
MANIFOLD HEIGHTS,0,0
JAN JUC,0,0
