Suburb,Lon,Lat,BoreCount,GlowIntensity
WILLAURA,142.71734364911111,-37.54394985588889,1,1
NAMBROK,146.8549239522973,-38.07048263175676,2,2
EDENHOPE,141.2833058613684,-37.058022237052626,3,3
WALPEUP,142.03317745,-35.11568337407894,1,1
NAREEN,141.54481734136985,-37.40658732054794,3,3
BENALLA,145.98910614302753,-36.56237572266055,1,1
GLENTHOMPSON,142.51862879479998,-37.707483933333336,4,4
BALMATTUM,145.69732166218392,-36.722512102643684,1,1
OUYEN,142.25675391413247,-34.994192897917976,1,1
DIGGORA,144.50914694099998,-36.35325117633333,2,2
LILLIMUR,141.12840588614037,-36.42037353385965,1,1
KYVALLEY,145.007539845,-36.29769785807692,12,12
WOOLSTHORPE,142.48408144371132,-38.15837431319587,1,1
ZUMSTEINS,142.3747555767213,-37.11259962704918,1,1
LANGKOOP,141.11058832610524,-37.11751029978947,1,1
LISMORE,143.32397787147286,-37.97349947263566,3,3
COWANGIE,141.37594596653847,-35.22789315446154,1,1
NATIMUK,141.9666582052,-36.72476061693333,1,1
NEUARPURR,141.0780837976744,-36.723510637441855,1,1
BOORT,143.78998608195803,-36.14397475349651,1,1
MERINGUR,141.28050036178573,-34.43804179309524,1,1
MERRINEE,141.83522305904413,-34.46973039147059,1,1
KYABRAM SOUTH,145.07073718600003,-36.39216130050001,3,3
DORODONG,141.07411595555553,-37.319020902,1,1
QUAMBATOOK,143.5323871372174,-35.86558880939131,1,1
TENNYSON,144.40951928258065,-36.3047286532258,6,6
APSLEY,141.09802370421053,-36.98523466842106,3,3
MOGGS CREEK,144.06966118464285,-38.4587175725,1,1
CHILTERN,146.6127163980357,-36.19678044577381,1,1
WARRAGUL WEST,145.88090881740743,-38.16852597148148,1,1
BORALMA,146.3935202568966,-36.23799660275863,2,2
LEMNOS,145.4596958675,-36.347580879,3,3
YARROWEYAH,145.5688084958333,-35.9374594075,6,6
GUNBOWER,144.37289770085002,-35.93187502795,1,1
QUARRY HILL,144.27887676761904,-36.776975349523816,1,1
NATHALIA,145.20243110836736,-36.08639081357142,9,9
