DisplayYear,YearStep,Resource_Type,Volume_ML
2015-16,2015.0,Surface water - consumptive,3845196.0
2015-16,2015.1,Surface water - consumptive,3780474.6000000588
2015-16,2015.2,Surface water - consumptive,3715753.2000001175
2015-16,2015.3,Surface water - consumptive,3651031.8000001768
2015-16,2015.4,Surface water - consumptive,3586310.4000002355
2015-16,2015.5,Surface water - consumptive,3521589.0000002943
2015-16,2015.6,Surface water - consumptive,3456867.600000353
2015-16,2015.7,Surface water - consumptive,3392146.200000412
2015-16,2015.8,Surface water - consumptive,3327424.800000471
2015-16,2015.9,Surface water - consumptive,3262703.40000053
2015-16,2016.0,Surface water - consumptive,3197982.0000005886
2016-17,2016.1,Surface water - consumptive,3233224.199999647
2016-17,2016.2,Surface water - consumptive,3268466.3999996153
2016-17,2016.3,Surface water - consumptive,3303708.5999995833
2016-17,2016.4,Surface water - consumptive,3338950.7999995514
2016-17,2016.5,Surface water - consumptive,3374192.9999995194
2016-17,2016.6,Surface water - consumptive,3409435.199999487
2016-17,2016.7,Surface water - consumptive,3444677.399999455
2016-17,2016.8,Surface water - consumptive,3479919.599999423
2016-17,2016.9,Surface water - consumptive,3515161.799999391
2016-17,2017.0,Surface water - consumptive,3550403.999999359
2017-18,2017.1,Surface water - consumptive,3529128.100000406
2017-18,2017.2,Surface water - consumptive,3507852.200000426
2017-18,2017.3,Surface water - consumptive,3486576.300000445
2017-18,2017.4,Surface water - consumptive,3465300.400000464
2017-18,2017.5,Surface water - consumptive,3444024.500000484
2017-18,2017.6,Surface water - consumptive,3422748.600000503
2017-18,2017.7,Surface water - consumptive,3401472.7000005227
2017-18,2017.8,Surface water - consumptive,3380196.800000542
2017-18,2017.9,Surface water - consumptive,3358920.900000561
2017-18,2018.0,Surface water - consumptive,3337645.0000005807
2018-19,2018.1,Surface water - consumptive,3274252.000001787
2018-19,2018.2,Surface water - consumptive,3210859.000001845
2018-19,2018.3,Surface water - consumptive,3147466.0000019027
2018-19,2018.4,Surface water - consumptive,3084073.0000019604
2018-19,2018.5,Surface water - consumptive,3020680.000002018
2018-19,2018.6,Surface water - consumptive,2957287.0000020755
2018-19,2018.7,Surface water - consumptive,2893894.000002133
2018-19,2018.8,Surface water - consumptive,2830501.000002191
2018-19,2018.9,Surface water - consumptive,2767108.0000022487
2018-19,2019.0,Surface water - consumptive,2703715.000002306
2019-20,2019.1,Surface water - consumptive,2713980.499999617
2019-20,2019.2,Surface water - consumptive,2724245.999999608
2019-20,2019.3,Surface water - consumptive,2734511.4999995986
2019-20,2019.4,Surface water - consumptive,2744776.9999995893
2019-20,2019.5,Surface water - consumptive,2755042.49999958
2019-20,2019.6,Surface water - consumptive,2765307.9999995707
2019-20,2019.7,Surface water - consumptive,2775573.4999995613
2019-20,2019.8,Surface water - consumptive,2785838.999999552
2019-20,2019.9,Surface water - consumptive,2796104.4999995427
2019-20,2020.0,Surface water - consumptive,2806369.9999995334
2020-21,2020.1,Surface water - consumptive,2817656.1999994763
2020-21,2020.2,Surface water - consumptive,2828942.3999994663
2020-21,2020.3,Surface water - consumptive,2840228.5999994557
2020-21,2020.4,Surface water - consumptive,2851514.7999994457
2020-21,2020.5,Surface water - consumptive,2862800.9999994356
2020-21,2020.6,Surface water - consumptive,2874087.199999425
2020-21,2020.7,Surface water - consumptive,2885373.399999415
2020-21,2020.8,Surface water - consumptive,2896659.5999994045
2020-21,2020.9,Surface water - consumptive,2907945.7999993945
2020-21,2021.0,Surface water - consumptive,2919231.999999384
2021-22,2021.1,Surface water - consumptive,2912333.7000003825
2021-22,2021.2,Surface water - consumptive,2905435.400000389
2021-22,2021.3,Surface water - consumptive,2898537.1000003954
2021-22,2021.4,Surface water - consumptive,2891638.8000004017
2021-22,2021.5,Surface water - consumptive,2884740.500000408
2021-22,2021.6,Surface water - consumptive,2877842.200000414
2021-22,2021.7,Surface water - consumptive,2870943.9000004204
2021-22,2021.8,Surface water - consumptive,2864045.6000004266
2021-22,2021.9,Surface water - consumptive,2857147.300000433
2021-22,2022.0,Surface water - consumptive,2850249.000000439
2022-23,2022.1,Surface water - consumptive,2850249.0
2022-23,2022.2,Surface water - consumptive,2850249.0
2022-23,2022.3,Surface water - consumptive,2850249.0
2022-23,2022.4,Surface water - consumptive,2850249.0
2022-23,2022.5,Surface water - consumptive,2850249.0
2022-23,2022.6,Surface water - consumptive,2850249.0
2022-23,2022.7,Surface water - consumptive,2850249.0
2022-23,2022.8,Surface water - consumptive,2850249.0
2022-23,2022.9,Surface water - consumptive,2850249.0
2022-23,2023.0,Surface water - consumptive,2850249.0
2023-24,2023.1,Surface water - consumptive,2850249.0
2023-24,2023.2,Surface water - consumptive,2850249.0
2023-24,2023.3,Surface water - consumptive,2850249.0
2023-24,2023.4,Surface water - consumptive,2850249.0
2023-24,2023.5,Surface water - consumptive,2850249.0
2023-24,2023.6,Surface water - consumptive,2850249.0
2023-24,2023.7,Surface water - consumptive,2850249.0
2023-24,2023.8,Surface water - consumptive,2850249.0
2023-24,2023.9,Surface water - consumptive,2850249.0
2023-24,2024.0,Surface water - consumptive,2850249.0
2024-25,2024.1,Surface water - consumptive,2850249.0
2024-25,2024.2,Surface water - consumptive,2850249.0
2024-25,2024.3,Surface water - consumptive,2850249.0
2024-25,2024.4,Surface water - consumptive,2850249.0
2024-25,2024.5,Surface water - consumptive,2850249.0
2024-25,2024.6,Surface water - consumptive,2850249.0
2024-25,2024.7,Surface water - consumptive,2850249.0
2024-25,2024.8,Surface water - consumptive,2850249.0
2024-25,2024.9,Surface water - consumptive,2850249.0
2024-25,2025.0,Surface water - consumptive,2850249.0
2015-16,2015.0,Surface water - environmental,689532.0
2015-16,2015.1,Surface water - environmental,691225.5999999985
2015-16,2015.2,Surface water - environmental,692919.1999999969
2015-16,2015.3,Surface water - environmental,694612.7999999954
2015-16,2015.4,Surface water - environmental,696306.3999999939
2015-16,2015.5,Surface water - environmental,697999.9999999923
2015-16,2015.6,Surface water - environmental,699693.5999999908
2015-16,2015.7,Surface water - environmental,701387.1999999892
2015-16,2015.8,Surface water - environmental,703080.7999999877
2015-16,2015.9,Surface water - environmental,704774.3999999862
2015-16,2016.0,Surface water - environmental,706467.9999999846
2016-17,2016.1,Surface water - environmental,727682.6999997877
2016-17,2016.2,Surface water - environmental,748897.3999997685
2016-17,2016.3,Surface water - environmental,770112.0999997492
2016-17,2016.4,Surface water - environmental,791326.7999997298
2016-17,2016.5,Surface water - environmental,812541.4999997106
2016-17,2016.6,Surface water - environmental,833756.1999996912
2016-17,2016.7,Surface water - environmental,854970.899999672
2016-17,2016.8,Surface water - environmental,876185.5999996527
2016-17,2016.9,Surface water - environmental,897400.2999996333
2016-17,2017.0,Surface water - environmental,918614.9999996141
2017-18,2017.1,Surface water - environmental,881314.4000007124
2017-18,2017.2,Surface water - environmental,844013.8000007464
2017-18,2017.3,Surface water - environmental,806713.2000007803
2017-18,2017.4,Surface water - environmental,769412.6000008142
2017-18,2017.5,Surface water - environmental,732112.0000008481
2017-18,2017.6,Surface water - environmental,694811.4000008821
2017-18,2017.7,Surface water - environmental,657510.800000916
