Water year,Resource_Type,Volume_ML
2015-16,Surface water - consumptive,3845196.0
2016-17,Surface water - consumptive,3197982.0
2017-18,Surface water - consumptive,3550404.0
2018-19,Surface water - consumptive,3337645.0
2019-20,Surface water - consumptive,2703715.0
2020-21,Surface water - consumptive,2806370.0
2021-22,Surface water - consumptive,2919232.0
2022-23,Surface water - consumptive,2850249.0
2015-16,Surface water - environmental,689532.0
2016-17,Surface water - environmental,706468.0
2017-18,Surface water - environmental,918615.0
2018-19,Surface water - environmental,545609.0
2019-20,Surface water - environmental,891788.0
2020-21,Surface water - environmental,656719.0
2021-22,Surface water - environmental,1008424.0
2022-23,Surface water - environmental,612279.0
2015-16,Groundwater - consumptive,457374.0
2016-17,Groundwater - consumptive,351672.0
2017-18,Groundwater - consumptive,439845.0
2018-19,Groundwater - consumptive,498229.0
2019-20,Groundwater - consumptive,438649.0
2020-21,Groundwater - consumptive,377043.0
2021-22,Groundwater - consumptive,289741.0
2022-23,Groundwater - consumptive,217740.0
2015-16,Recycled water - consumptive,95600.0
2016-17,Recycled water - consumptive,83811.0
2017-18,Recycled water - consumptive,97159.0
2018-19,Recycled water - consumptive,100342.0
2019-20,Recycled water - consumptive,79389.0
2020-21,Recycled water - consumptive,86959.0
2021-22,Recycled water - consumptive,79150.0
2022-23,Recycled water - consumptive,71562.0
2015-16,Desalinated water - consumptive,0.0
2016-17,Desalinated water - consumptive,0.0
2017-18,Desalinated water - consumptive,0.0
2018-19,Desalinated water - consumptive,21966.0
2019-20,Desalinated water - consumptive,118324.0
2020-21,Desalinated water - consumptive,125000.0
2021-22,Desalinated water - consumptive,125000.0
2022-23,Desalinated water - consumptive,4136.0
