Year,Residential_GL,Non_Residential_GL,Non_Revenue_GL
2000-01,303,138,60
2001-02,280,126,56
2002-03,295,131,53
2003-04,275,121,49
2004-05,274,119,49
2005-06,282,119,46
2006-07,258,108,46
2007-08,236,102,43
2008-09,231,99,42
2009-10,229,96,38
2010-11,225,91,37
2011-12,238,95,41
2012-13,261,101,44
2013-14,263,101,45
2014-15,267,102,46
2015-16,283,108,50
2016-17,279,106,43
2017-18,289,110,53
2018-19,299,111,49
2019-20,298,102,39
2020-21,303,90,41
2021-22,304,94,47
2022-23,298,100,53
2023-24,309,106,56
2024-25,323,112,61
