Year,Month,Storage_Percentage,Month_Num
1948,January,84.51,1
1948,February,87.34,2
1948,March,90.58,3
1948,April,94.17,4
1948,May,97.2,5
1948,June,96.64,6
1948,July,90.54,7
1948,August,,8
1948,September,,9
1948,October,,10
1948,November,,11
1948,December,,12
1949,January,82.37,1
1949,February,71.63,2
1949,March,73.82,3
1949,April,76.0,4
1949,May,80.32,5
1949,June,86.58,6
1949,July,89.96,7
1949,August,89.77,8
1949,September,93.2,9
1949,October,97.03,10
1949,November,99.39,11
1949,December,97.92,12
1950,January,87.64,1
1950,February,85.04,2
1950,March,79.85,3
1950,April,76.73,4
1950,May,73.67,5
1950,June,73.03,6
1950,July,76.41,7
1950,August,81.95,8
1950,September,89.4,9
1950,October,94.59,10
1950,November,94.12,11
1950,December,86.51,12
1951,January,75.62,1
1951,February,65.78,2
1951,March,52.48,3
1951,April,57.59,4
1951,May,67.7,5
1951,June,76.9,6
1951,July,88.73,7
1951,August,96.63,8
1951,September,99.46,9
1951,October,99.51,10
1951,November,99.05,11
1951,December,96.57,12
1952,January,88.12,1
1952,February,80.6,2
1952,March,70.69,3
1952,April,67.42,4
1952,May,73.88,5
1952,June,86.4,6
1952,July,90.67,7
1952,August,91.96,8
1952,September,94.29,9
1952,October,98.76,10
1952,November,100.01,11
1952,December,99.89,12
1953,January,96.91,1
1953,February,89.89,2
1953,March,77.28,3
1953,April,71.09,4
1953,May,74.72,5
1953,June,84.33,6
1953,July,87.58,7
1953,August,90.95,8
1953,September,93.99,9
1953,October,97.36,10
1953,November,99.42,11
1953,December,96.9,12
1954,January,88.24,1
1954,February,86.46,2
1954,March,72.47,3
1954,April,66.23,4
1954,May,67.82,5
1954,June,72.46,6
1954,July,78.17,7
1954,August,83.24,8
1954,September,88.45,9
1954,October,90.08,10
1954,November,99.93,11
1954,December,97.62,12
1955,January,84.24,1
1955,February,77.48,2
1955,March,66.93,3
1955,April,60.61,4
1955,May,60.58,5
1955,June,66.84,6
1955,July,76.8,7
1955,August,88.73,8
1955,September,92.61,9
1955,October,99.19,10
1955,November,98.5,11
1955,December,99.16,12
1956,January,99.44,1
1956,February,87.61,2
1956,March,81.51,3
1956,April,83.86,4
1956,May,92.37,5
1956,June,96.08,6
1956,July,94.96,7
1956,August,95.18,8
1956,September,96.16,9
1956,October,100.16,10
1956,November,100.0,11
1956,December,97.53,12
1957,January,87.25,1
1957,February,75.32,2
1957,March,62.78,3
1957,April,52.94,4
1957,May,53.58,5
1957,June,52.02,6
1957,July,58.13,7
1957,August,60.26,8
1957,September,31.54,9
1957,October,48.35,10
1957,November,52.11,11
1957,December,51.88,12
1958,January,46.27,1
1958,February,42.98,2
1958,March,38.24,3
1958,April,34.11,4
1958,May,34.72,5
1958,June,35.62,6
1958,July,41.59,7
1958,August,64.76,8
1958,September,75.76,9
1958,October,86.59,10
1958,November,91.77,11
1958,December,94.05,12
1959,January,88.02,1
1959,February,82.92,2
1959,March,79.42,3
1959,April,75.58,4
1959,May,72.4,5
1959,June,73.15,6
1959,July,75.89,7
1959,August,87.02,8
1959,September,96.22,9
1959,October,97.24,10
1959,November,94.7,11
1959,December,91.47,12
1960,January,83.5,1
1960,February,77.37,2
1960,March,69.43,3
1960,April,68.29,4
1960,May,89.41,5
1960,June,94.13,6
1960,July,95.93,7
1960,August,97.56,8
1960,September,99.26,9
1960,October,99.51,10
1960,November,99.74,11
1960,December,96.95,12
1961,January,88.7,1
1961,February,80.75,2
1961,March,76.36,3
1961,April,74.35,4
1961,May,73.67,5
1961,June,76.89,6
1961,July,86.95,7
1961,August,92.3,8
1961,September,95.29,9
1961,October,92.31,10
1961,November,85.34,11
1961,December,77.67,12
1962,January,70.08,1
1962,February,63.71,2
1962,March,56.18,3
1962,April,50.56,4
1962,May,49.81,5
1962,June,52.22,6
1962,July,55.52,7
1962,August,65.43,8
1962,September,71.65,9
1962,October,81.8,10
1962,November,82.07,11
1962,December,78.16,12
1963,January,72.95,1
1963,February,68.58,2
1963,March,61.88,3
